timeStep areaDensityCounting-PID5 areaDensityCounting-PID6 areaDensityCounting-PID7 areaDensityCounting-PID8 areaDensityCounting-PID9 areaDensityCounting-PID10 areaDensityCounting-PID11 areaDensityCounting-PID12 areaDensityCounting-PID13 areaDensityCounting-PID14 areaDensityCounting-PID15 areaDensityCounting-PID16 areaDensityCounting-PID17
332 3 3 6 9 10 6 10 1 13 11 11 9 8
333 3 3 6 8 11 6 10 1 12 12 11 10 7
334 3 3 6 8 11 6 8 1 14 12 11 10 7
335 3 3 6 8 11 6 8 1 13 13 11 10 7
336 3 3 6 8 11 6 8 1 13 12 12 11 6
337 3 3 6 10 9 6 8 1 13 12 12 10 7
338 3 3 6 9 10 6 8 1 13 11 12 11 7
339 3 3 6 9 10 6 7 1 14 11 12 10 8
340 3 3 6 9 10 6 8 1 13 11 11 10 9
341 3 3 6 8 11 6 8 1 13 11 11 10 9
342 3 3 6 9 10 6 7 1 13 11 12 10 9
343 3 3 6 8 10 6 7 1 14 12 11 10 9
344 3 3 6 8 10 6 10 1 12 11 11 10 9
345 3 3 6 8 10 6 10 1 12 12 10 10 9
346 3 3 6 8 10 6 9 1 12 12 11 10 9
347 3 3 6 8 10 6 8 1 13 12 11 10 9
348 3 3 6 8 10 6 9 1 12 12 11 8 11
349 3 3 6 6 11 6 9 2 12 11 12 9 10
350 3 3 6 6 11 6 10 1 12 11 12 10 9
351 3 3 6 6 11 6 9 1 13 11 12 10 9
352 3 3 6 6 11 6 9 1 13 11 12 10 9
353 3 3 6 5 11 6 11 1 12 12 11 11 8
354 3 3 6 6 10 6 11 1 12 11 12 11 8
355 3 3 6 6 10 6 11 1 12 11 12 11 8
356 3 3 6 6 10 6 11 1 12 11 11 11 9
357 3 3 6 6 10 6 11 1 12 11 11 11 9
358 3 3 6 6 10 6 10 1 13 11 11 12 8
359 3 3 6 6 10 6 10 1 13 11 11 12 8
360 3 3 6 6 10 6 10 1 13 11 11 12 8
361 3 3 6 6 10 6 10 1 13 11 10 12 9
362 3 3 6 6 10 6 10 1 13 11 10 12 9
363 3 3 6 6 10 6 10 1 13 11 10 10 11
364 3 3 6 6 10 6 10 1 13 10 11 10 11
365 3 3 6 6 10 6 11 1 12 9 12 11 10
366 3 3 6 7 9 6 9 1 14 10 11 11 10
367 3 3 6 7 9 6 9 1 14 10 11 12 9
368 3 3 6 7 8 6 9 2 13 11 11 11 10
369 3 3 6 7 8 6 10 1 13 11 11 10 11
370 3 3 6 7 8 6 10 1 13 10 12 10 11
371 3 3 6 7 8 6 10 1 13 10 12 10 11
372 3 3 6 7 8 6 10 1 13 10 12 10 11
373 3 3 6 7 8 6 9 1 14 10 12 10 11
374 3 3 6 6 8 6 10 1 14 10 12 10 11
375 3 3 6 6 8 6 10 1 14 10 12 10 11
376 3 3 6 6 8 6 10 1 14 9 13 10 11
377 3 3 6 6 8 6 10 1 14 9 13 10 11
378 3 3 6 6 8 6 11 1 13 9 13 10 11
379 3 3 6 6 8 6 11 1 13 9 13 10 11
380 3 3 6 5 9 6 11 1 13 9 13 10 11
381 3 3 6 6 8 6 10 1 13 10 13 10 11
382 3 3 6 6 8 6 10 1 13 10 13 10 11
383 3 3 6 7 7 6 9 1 13 11 13 10 11
384 3 3 6 7 6 6 9 1 13 12 13 10 11
385 3 3 6 6 7 6 9 1 13 12 13 10 11
386 3 3 6 7 6 6 9 1 13 12 13 10 11
387 3 3 6 7 6 6 9 1 13 12 13 10 11
388 3 3 6 7 6 6 8 1 13 13 14 10 10
389 3 3 6 7 6 6 8 1 13 12 15 10 10
390 3 3 6 7 6 6 8 1 13 12 14 10 11
391 3 4 5 6 7 6 8 1 13 12 14 10 11
392 3 3 6 6 7 6 8 1 13 12 13 11 11
393 3 3 6 6 7 6 8 1 13 12 13 11 11
394 3 3 6 6 7 6 8 1 13 11 14 11 11
395 3 3 6 6 7 6 8 1 13 11 13 11 12
396 3 3 6 6 7 6 8 1 13 11 12 11 13
397 3 3 6 6 7 6 8 1 13 11 13 11 12
398 3 3 6 6 7 6 8 1 13 11 13 13 10
399 3 3 6 6 7 6 8 1 13 12 12 12 11
400 3 3 6 6 7 6 8 1 13 13 10 12 12
401 3 3 6 6 7 6 8 0 14 13 10 12 12
402 3 3 6 6 6 6 8 1 14 13 10 11 13
403 3 3 6 5 7 6 10 1 12 12 11 11 13
404 3 3 6 6 6 6 9 1 13 12 11 12 12
405 3 3 6 6 6 6 9 1 13 11 11 12 13
406 3 3 6 6 6 6 10 1 13 11 11 11 13
407 3 3 6 5 7 6 10 1 13 11 11 11 13
408 3 3 6 5 7 6 11 1 13 11 10 11 13
409 3 3 6 5 7 6 11 1 13 11 10 11 13
410 3 3 6 5 7 6 10 1 13 11 11 11 13
411 3 3 6 5 7 6 10 1 13 11 11 11 13
412 3 3 6 5 7 6 10 1 13 11 10 12 13
413 3 3 6 5 7 6 10 1 13 11 10 12 13
414 3 3 6 5 7 6 10 1 13 11 10 12 13
415 3 3 6 6 6 6 10 0 14 10 11 11 14
416 3 3 6 5 6 6 11 1 13 10 11 12 13
417 3 3 6 5 6 6 11 1 13 10 12 12 12
418 3 3 6 5 6 6 11 1 13 10 12 12 12
419 3 3 6 6 5 6 10 1 14 10 12 12 12
420 3 3 6 5 6 6 11 1 13 11 11 13 11
421 3 3 6 5 6 6 11 1 13 11 10 13 12
422 3 3 6 5 6 6 9 1 14 10 12 13 12
423 3 3 6 5 6 6 8 1 15 11 11 13 12
424 3 3 6 5 6 6 10 1 13 11 11 13 12
425 3 3 6 5 6 6 9 1 14 11 11 14 11
426 3 3 6 5 6 6 10 1 14 10 11 14 11
427 3 3 6 5 6 6 11 1 13 10 11 14 11
428 3 3 6 5 6 6 9 1 14 11 11 14 11
429 3 3 6 6 6 6 9 0 14 11 11 14 11
430 3 3 6 6 5 6 8 1 15 10 12 14 11
431 3 3 6 5 6 6 10 0 14 10 12 15 10
432 3 3 6 5 5 6 9 1 14 11 12 15 10
433 3 3 6 5 5 6 9 1 14 11 11 14 12
434 3 3 6 5 5 6 8 1 15 11 11 14 12
435 3 3 6 5 5 6 9 0 15 11 11 14 12
436 3 3 6 5 5 6 9 1 14 10 12 14 12
437 3 3 6 5 5 6 9 1 14 10 12 13 13
438 3 3 6 5 5 6 9 1 14 11 11 13 13
439 3 3 6 5 5 6 9 1 14 11 11 13 13
440 3 3 6 5 5 6 9 1 14 11 11 13 13
441 3 3 6 5 5 6 9 1 14 11 11 13 13
442 3 3 6 5 5 6 9 1 13 12 11 13 13
443 3 3 6 6 4 6 9 1 13 11 12 13 13
444 3 3 6 6 4 6 10 1 13 10 12 13 13
445 3 3 6 6 4 6 10 1 13 10 12 13 13
446 3 3 6 6 4 6 9 1 14 11 11 13 13
447 3 3 6 6 4 6 10 1 13 10 12 13 13
448 3 3 6 6 4 6 10 1 13 10 12 13 13
449 3 3 6 6 4 6 10 1 13 10 12 13 13
450 3 3 6 6 4 6 9 1 13 11 12 13 13
451 3 3 6 6 4 6 9 1 13 11 12 13 13
452 3 3 6 6 4 6 9 1 13 11 12 14 12
453 3 3 6 6 4 6 9 1 13 11 12 14 12
454 3 3 6 6 4 6 9 1 13 11 12 13 13
455 3 3 6 6 4 6 9 1 13 11 12 12 14
456 3 3 6 6 4 6 9 1 13 10 13 13 13
457 3 3 6 5 5 6 9 1 13 10 13 13 13
458 3 3 6 5 5 6 9 1 13 10 13 13 13
459 3 3 6 6 4 6 9 1 13 11 12 13 13
460 3 3 6 6 4 6 9 1 13 11 12 13 13
461 3 3 6 5 5 6 9 1 13 11 12 13 13
462 3 3 6 5 5 6 9 1 13 11 12 13 13
463 3 3 6 5 5 6 9 1 13 11 12 13 13
464 3 3 6 5 5 6 9 1 13 11 12 13 13
465 3 3 6 5 5 6 9 1 13 11 12 13 13
466 3 3 6 6 4 6 9 0 14 11 12 13 13
467 3 3 6 5 5 6 8 1 14 11 12 13 13
468 3 3 6 5 5 6 9 1 13 12 11 13 13
469 3 3 6 5 5 6 9 1 13 11 12 13 13
470 3 3 6 5 5 6 9 1 13 11 12 13 13
471 3 3 6 5 5 6 9 1 13 11 12 13 13
472 3 3 6 5 5 6 9 1 13 11 12 12 14
473 3 3 6 5 5 6 9 1 13 11 12 13 13
474 3 3 6 5 5 6 9 1 13 11 12 13 13
475 3 3 6 5 5 6 9 1 13 11 12 13 13
476 3 3 6 5 5 6 9 1 13 11 12 12 14
477 3 3 6 5 5 6 9 1 13 11 12 13 13
478 3 3 6 6 4 6 9 1 13 11 12 13 13
479 3 3 6 6 4 6 9 1 13 11 12 13 13
480 3 3 6 6 4 6 9 1 13 11 12 13 13
481 3 3 6 6 4 6 9 1 13 11 12 13 13
