timeStep areaDensityCounting-PID5 areaDensityCounting-PID6 areaDensityCounting-PID7 areaDensityCounting-PID8 areaDensityCounting-PID9 areaDensityCounting-PID10 areaDensityCounting-PID11 areaDensityCounting-PID12 areaDensityCounting-PID13 areaDensityCounting-PID14 areaDensityCounting-PID15 areaDensityCounting-PID16 areaDensityCounting-PID17
226 4 4 6 11 14 7 7 1 9 10 9 9 9
227 4 4 6 11 14 7 7 1 9 10 9 9 9
228 4 4 6 11 14 7 7 1 9 10 9 9 9
229 4 4 5 11 14 7 7 1 9 10 9 9 9
230 4 4 5 11 14 7 7 1 9 10 9 9 9
231 4 4 5 11 13 7 8 1 9 11 8 9 9
232 4 4 5 11 13 7 9 1 9 10 8 9 9
233 4 4 5 10 14 7 9 1 9 9 9 9 9
234 4 4 5 10 14 7 9 1 9 9 10 8 9
235 4 4 5 10 14 7 9 1 9 9 10 8 9
236 4 4 5 10 14 7 9 1 9 8 10 9 9
237 4 4 5 10 14 7 10 1 8 8 10 9 9
238 4 4 5 10 14 7 10 1 8 9 9 9 9
239 4 4 5 10 14 7 10 1 8 9 9 9 9
240 4 4 5 10 14 7 10 1 8 9 9 9 9
241 4 4 5 10 14 7 10 1 8 9 9 9 9
242 4 4 5 10 14 7 10 1 8 10 9 8 9
243 4 4 5 10 14 7 10 1 8 10 9 8 9
244 4 4 5 10 14 7 9 1 9 9 10 7 10
245 4 4 5 10 14 7 9 1 9 10 9 7 10
246 4 4 5 10 14 7 9 1 9 11 8 7 10
247 4 4 6 10 13 7 9 1 10 11 8 6 11
248 4 4 5 10 14 7 10 1 10 9 8 7 11
249 4 4 5 10 14 7 10 1 9 10 8 7 11
250 4 4 5 10 14 7 9 1 10 10 8 8 10
251 4 4 5 10 14 7 10 1 9 10 8 8 10
252 4 4 5 10 14 7 10 1 10 9 8 8 10
253 4 4 5 10 14 7 10 1 10 10 7 8 10
254 4 4 5 9 15 7 11 1 9 10 7 8 10
255 4 4 5 9 15 7 9 1 10 11 7 8 10
256 4 4 5 11 14 7 9 1 10 10 7 8 10
257 4 4 5 11 14 7 10 1 9 9 8 8 10
258 4 4 5 10 15 7 10 1 9 9 8 8 10
259 4 4 5 11 14 7 10 1 9 9 8 8 10
260 4 4 5 10 15 7 10 1 9 9 8 8 10
261 4 4 5 10 15 7 9 1 9 10 8 8 10
262 4 4 5 10 15 7 8 1 10 10 8 8 10
263 4 4 6 10 14 7 8 1 10 11 7 8 10
264 4 4 6 10 14 7 9 1 10 10 7 8 10
265 4 4 6 11 13 7 8 1 10 10 8 8 10
266 4 4 6 10 14 7 8 1 10 11 7 8 10
267 4 4 6 10 14 7 8 1 10 11 7 8 10
268 4 4 6 10 14 7 8 1 11 10 7 9 9
269 4 4 6 11 13 7 8 1 11 10 7 9 9
270 4 4 6 11 13 7 8 1 11 10 7 8 10
271 4 4 6 9 15 7 10 1 9 9 9 8 9
272 4 4 6 10 14 7 9 1 10 9 9 8 9
273 4 4 6 10 14 7 8 1 11 9 9 8 9
274 4 4 6 10 14 7 9 1 10 9 9 8 9
275 4 4 6 9 15 7 9 1 10 10 8 9 8
276 4 4 6 9 15 7 9 1 10 10 8 9 8
277 4 4 7 9 14 7 9 1 10 10 8 8 9
278 4 4 7 9 14 7 9 1 10 9 9 8 9
279 4 4 7 9 14 7 8 1 11 9 9 8 9
280 4 4 7 9 14 7 9 1 10 9 9 8 9
281 4 4 7 8 15 7 9 1 10 9 9 8 9
282 4 4 7 10 13 7 9 1 10 9 9 8 9
283 4 4 7 10 12 7 10 1 10 9 9 8 9
284 4 4 7 10 12 7 10 1 10 9 9 8 9
285 4 4 7 10 12 7 10 1 10 8 10 8 9
286 4 4 7 9 12 7 11 1 10 8 10 7 10
287 4 4 7 8 13 7 11 1 10 8 10 7 10
